Time(t)	 Analytic	 RK-4 
7.690000	 471.818050	 471.818050
7.700000	 472.145000	 472.145000
7.710000	 472.472050	 472.472050
7.720000	 472.799200	 472.799200
7.730000	 473.126450	 473.126450
7.740000	 473.453800	 473.453800
7.750000	 473.781250	 473.781250
7.760000	 474.108800	 474.108800
7.770000	 474.436450	 474.436450
7.780000	 474.764200	 474.764200
7.790000	 475.092050	 475.092050
7.800000	 475.420000	 475.420000
7.810000	 475.748050	 475.748050
7.820000	 476.076200	 476.076200
7.830000	 476.404450	 476.404450
7.840000	 476.732800	 476.732800
7.850000	 477.061250	 477.061250
7.860000	 477.389800	 477.389800
7.870000	 477.718450	 477.718450
7.880000	 478.047200	 478.047200
7.890000	 478.376050	 478.376050
7.900000	 478.705000	 478.705000
7.910000	 479.034050	 479.034050
7.920000	 479.363200	 479.363200
7.930000	 479.692450	 479.692450
7.940000	 480.021800	 480.021800
7.950000	 480.351250	 480.351250
7.960000	 480.680800	 480.680800
7.970000	 481.010450	 481.010450
7.980000	 481.340200	 481.340200
7.990000	 481.670050	 481.670050
8.000000	 482.000000	 482.000000
8.010000	 482.330050	 482.330050
8.020000	 482.660200	 482.660200
8.030000	 482.990450	 482.990450
8.040000	 483.320800	 483.320800
8.050000	 483.651250	 483.651250
8.060000	 483.981800	 483.981800
8.070000	 484.312450	 484.312450
8.080000	 484.643200	 484.643200
8.090000	 484.974050	 484.974050
8.100000	 485.305000	 485.305000
8.110000	 485.636050	 485.636050
8.120000	 485.967200	 485.967200
8.130000	 486.298450	 486.298450
8.140000	 486.629800	 486.629800
8.150000	 486.961250	 486.961250
8.160000	 487.292800	 487.292800
8.170000	 487.624450	 487.624450
8.180000	 487.956200	 487.956200
